Model,DPO4104B
Firmware Version,1.38

Waveform Type,Analog,Analog,Analog,Analog
Point Format,ENV,,,
Horizontal Units,s,,,
Horizontal Scale,1e-05,,,
Horizontal Delay,0,0,0,0
Sample Interval,1e-08,,,
Record Length,10000,,,
Gating,0.0% to 100.0%,0.0% to 100.0%,0.0% to 100.0%,0.0% to 100.0%
Probe Attenuation,1,1,1,1
Vertical Units,V,V,V,V
Vertical Offset,0,0,0,0
Vertical Scale,0.2,0.2,0.1,5
Vertical Position,-4.6,-1.1,-0.64,-0.54
Label,,,,
TIME,CH1,CH2,CH3,CH4
-5.0000e-05,0.111219,0.0937188,0.00575,-0.161719
-4.9990e-05,0.110906,0.0917813,0.0065,-0.248438
-4.9980e-05,0.110625,0.09325,0.00660938,-0.177344
-4.9970e-05,0.11175,0.092625,0.00621875,-0.197656
-4.9960e-05,0.112938,0.0935938,0.00485937,-0.192969
-4.9950e-05,0.111875,0.090375,0.00515625,-0.207813
-4.9940e-05,0.113375,0.0909063,0.00557813,-0.167187
-4.9930e-05,0.112688,0.09275,0.00590625,-0.178906
-4.9920e-05,0.112531,0.0894063,0.0065,-0.139844
-4.9910e-05,0.113875,0.0890625,0.00621875,-0.214844
-4.9900e-05,0.110563,0.0887813,0.00673438,-0.190625
-4.9890e-05,0.109375,0.09075,0.00657812,-0.151562
-4.9880e-05,0.109094,0.0910625,0.00720312,-0.121094
-4.9870e-05,0.1085,0.08975,0.00664062,-0.179688
-4.9860e-05,0.108125,0.0904063,0.00667188,-0.170313
-4.9850e-05,0.110875,0.0900313,0.0060625,-0.2
-4.9840e-05,0.109781,0.0898438,0.00478125,-0.213281
-4.9830e-05,0.111375,0.091125,0.004875,-0.167187
-4.9820e-05,0.112406,0.092,0.00520313,-0.180469
-4.9810e-05,0.113813,0.0897188,0.0029375,-0.164844
-4.9800e-05,0.113688,0.090125,0.00498437,-0.174219
-4.9790e-05,0.112563,0.0917813,0.00614062,-0.163281
-4.9780e-05,0.111406,0.0912188,0.00715625,-0.201563
-4.9770e-05,0.110344,0.0916563,0.00590625,-0.163281
-4.9760e-05,0.11175,0.0900313,0.00579687,-0.205469
-4.9750e-05,0.110719,0.0919688,0.00604688,-0.129688
-4.9740e-05,0.109156,0.0902813,0.00607812,-0.139844
-4.9730e-05,0.111375,0.0934688,0.007875,-0.213281
-4.9720e-05,0.111688,0.091125,0.00648438,-0.205469
-4.9710e-05,0.113094,0.0893438,0.00584375,-0.171094
-4.9700e-05,0.109875,0.0920938,0.00589063,-0.236719
-4.9690e-05,0.112156,0.0922188,0.0056875,-0.190625
-4.9680e-05,0.112938,0.089875,0.00459375,-0.210938
-4.9670e-05,0.112719,0.0913438,0.00579687,-0.169531
-4.9660e-05,0.111531,0.0893438,0.00557813,-0.171094
-4.9650e-05,0.113594,0.091875,0.0063125,-0.160938
-4.9640e-05,0.111188,0.09,0.0061875,-0.21875
-4.9630e-05,0.109344,0.0886563,0.00690625,-0.2
-4.9620e-05,0.109469,0.0902188,0.00804688,-0.199219
-4.9610e-05,0.11175,0.091625,0.00623438,-0.178906
-4.9600e-05,0.108969,0.0920938,0.00626562,-0.189062
-4.9590e-05,0.108406,0.088875,0.00629688,-0.169531
-4.9580e-05,0.108,0.09225,0.00446875,-0.182031
-4.9570e-05,0.113438,0.0908125,0.00457813,-0.160156
-4.9560e-05,0.111594,0.0908438,0.00509375,-0.189062
-4.9550e-05,0.111188,0.0919688,0.00570313,-0.191406
-4.9540e-05,0.108938,0.0911875,0.005125,-0.19375
-4.9530e-05,0.108875,0.0908438,0.00510937,-0.169531
-4.9520e-05,0.11,0.0895938,0.00645312,-0.128906
-4.9510e-05,0.112063,0.09025,0.00704688,-0.2
-4.9500e-05,0.109844,0.0910938,0.00667188,-0.186719
-4.9490e-05,0.109406,0.0911563,0.005875,-0.145313
-4.9480e-05,0.109375,0.0913438,0.00703125,-0.1875
-4.9470e-05,0.110781,0.0929375,0.0080625,-0.170313
-4.9460e-05,0.112156,0.0920625,0.00545313,-0.176563
-4.9450e-05,0.111,0.0914688,0.00542187,-0.185938
-4.9440e-05,0.111156,0.0918125,0.00590625,-0.102344
-4.9430e-05,0.1115,0.0925625,0.00553125,-0.110937
-4.9420e-05,0.112031,0.0882188,0.00534375,-0.150781
-4.9410e-05,0.111844,0.0894063,0.0054375,-0.160156
-4.9400e-05,0.110125,0.0898438,0.00579687,-0.185156
-4.9390e-05,0.10975,0.089625,0.00601562,-0.222656
-4.9380e-05,0.110563,0.0902813,0.00798438,-0.199219
-4.9370e-05,0.110938,0.0900938,0.00676562,-0.127344
-4.9360e-05,0.107563,0.092125,0.00757812,-0.160156
-4.9350e-05,0.109531,0.09325,0.00578125,-0.174219
-4.9340e-05,0.109656,0.0902188,0.00771875,-0.140625
-4.9330e-05,0.112313,0.0909688,0.00740625,-0.173437
-4.9320e-05,0.1105,0.0910313,0.00479687,-0.123438
-4.9310e-05,0.112781,0.0904688,0.00604688,-0.182031
-4.9300e-05,0.11275,0.090125,0.00607812,-0.205469
-4.9290e-05,0.111281,0.0913125,0.005375,-0.1375
-4.9280e-05,0.111844,0.0907188,0.00585938,-0.130469
-4.9270e-05,0.111594,0.090375,0.006125,-0.179688
-4.9260e-05,0.113,0.0890938,0.005625,-0.172656
-4.9250e-05,0.108813,0.0906563,0.00615625,-0.164062
-4.9240e-05,0.111563,0.0918438,0.00679688,-0.202344
-4.9230e-05,0.110813,0.0916563,0.005875,-0.194531
-4.9220e-05,0.111219,0.0919063,0.006125,-0.210156
-4.9210e-05,0.108813,0.0920938,0.00614062,-0.200781
-4.9200e-05,0.11075,0.0927813,0.00604688,-0.142969
-4.9190e-05,0.110281,0.089375,0.0039375,-0.192969
-4.9180e-05,0.112313,0.0918125,0.00507813,-0.149219
-4.9170e-05,0.11375,0.0918125,0.00640625,-0.160156
-4.9160e-05,0.113375,0.0895,0.0055625,-0.209375
-4.9150e-05,0.111,0.0905,0.00521875,-0.185938
-4.9140e-05,0.112188,0.0898438,0.0063125,-0.220312
-4.9130e-05,0.113938,0.0897188,0.00729688,-0.176563
-4.9120e-05,0.108813,0.0900625,0.0066875,-0.188281
-4.9110e-05,0.112906,0.0912813,0.00773438,-0.157031
-4.9100e-05,0.109406,0.0922813,0.00779688,-0.171875
