Model,DPO4104B
Firmware Version,1.38

Waveform Type,Analog,Analog,Analog,Analog
Point Format,ENV,,,
Horizontal Units,s,,,
Horizontal Scale,1e-05,,,
Horizontal Delay,0,0,0,0
Sample Interval,1e-08,,,
Record Length,10000,,,
Gating,0.0% to 100.0%,0.0% to 100.0%,0.0% to 100.0%,0.0% to 100.0%
Probe Attenuation,1,1,1,1
Vertical Units,V,V,V,V
Vertical Offset,0,0,0,0
Vertical Scale,0.2,0.2,0.1,5
Vertical Position,-4.6,-1.1,-0.64,-0.54
Label,,,,
TIME,CH1,CH2,CH3,CH4
-5.0000e-05,0.102,0.0534688,0.00515625,-0.173437
-4.9990e-05,0.103781,0.0520938,0.007125,-0.171875
-4.9980e-05,0.101281,0.051875,0.00507813,-0.184375
-4.9970e-05,0.101156,0.0515938,0.00651562,-0.164844
-4.9960e-05,0.10375,0.0520625,0.00642188,-0.161719
-4.9950e-05,0.104406,0.0531875,0.007,-0.146875
-4.9940e-05,0.103781,0.050875,0.00628125,-0.202344
-4.9930e-05,0.103406,0.0511563,0.00757812,-0.146094
-4.9920e-05,0.103563,0.054625,0.007,-0.185938
-4.9910e-05,0.103094,0.0545625,0.00573437,-0.184375
-4.9900e-05,0.1025,0.0512813,0.00564063,-0.199219
-4.9890e-05,0.101063,0.052375,0.00554687,-0.201563
-4.9880e-05,0.102938,0.0523438,0.00625,-0.1875
-4.9870e-05,0.102375,0.0505313,0.00514063,-0.150781
-4.9860e-05,0.104156,0.0508125,0.0041875,-0.155469
-4.9850e-05,0.103094,0.0537188,0.00567187,-0.154688
-4.9840e-05,0.101375,0.0522188,0.00604688,-0.15625
-4.9830e-05,0.101469,0.0514375,0.00623438,-0.163281
-4.9820e-05,0.104063,0.0477813,0.00704688,-0.174219
-4.9810e-05,0.102781,0.0500625,0.00528125,-0.171094
-4.9800e-05,0.103344,0.051625,0.00567187,-0.155469
-4.9790e-05,0.101188,0.0525938,0.00590625,-0.161719
-4.9780e-05,0.101781,0.0528125,0.00560937,-0.203906
-4.9770e-05,0.101781,0.0516875,0.0055625,-0.167187
-4.9760e-05,0.100063,0.0507188,0.00571875,-0.214844
-4.9750e-05,0.10275,0.05375,0.00673438,-0.185156
-4.9740e-05,0.101813,0.053625,0.00703125,-0.186719
-4.9730e-05,0.100594,0.05375,0.00665625,-0.166406
-4.9720e-05,0.104625,0.0514063,0.0080625,-0.152344
-4.9710e-05,0.100219,0.05,0.00823438,-0.164844
-4.9700e-05,0.10475,0.054,0.00725,-0.189062
-4.9690e-05,0.104094,0.0500313,0.00695312,-0.239063
-4.9680e-05,0.103469,0.0528125,0.0065625,-0.164062
-4.9670e-05,0.106219,0.0504375,0.00665625,-0.196875
-4.9660e-05,0.104188,0.0525,0.00601562,-0.175781
-4.9650e-05,0.102469,0.0548125,0.00546875,-0.2375
-4.9640e-05,0.105031,0.0506563,0.0066875,-0.169531
-4.9630e-05,0.102281,0.0514063,0.00503125,-0.191406
-4.9620e-05,0.10425,0.0497188,0.00601562,-0.190625
-4.9610e-05,0.104875,0.0525625,0.0058125,-0.178125
-4.9600e-05,0.101375,0.05225,0.00601562,-0.210938
-4.9590e-05,0.102969,0.051375,0.0069375,-0.149219
-4.9580e-05,0.103563,0.0515313,0.00689062,-0.125
-4.9570e-05,0.100313,0.0518125,0.00598438,-0.225781
-4.9560e-05,0.101813,0.05175,0.00639062,-0.192188
-4.9550e-05,0.101844,0.0501875,0.00615625,-0.180469
-4.9540e-05,0.101938,0.0521875,0.00640625,-0.164062
-4.9530e-05,0.101656,0.0545625,0.00657812,-0.154688
-4.9520e-05,0.1005,0.05075,0.00570313,-0.141406
-4.9510e-05,0.102563,0.05075,0.005875,-0.157812
-4.9500e-05,0.105844,0.0509688,0.00532813,-0.207031
-4.9490e-05,0.103,0.0531563,0.00534375,-0.170313
-4.9480e-05,0.101781,0.0512813,0.006,-0.196094
-4.9470e-05,0.102719,0.0524063,0.006375,-0.214062
-4.9460e-05,0.105125,0.0517813,0.00607812,-0.20625
-4.9450e-05,0.1045,0.0505313,0.00651562,-0.153125
-4.9440e-05,0.101375,0.0523125,0.0055,-0.19375
-4.9430e-05,0.103594,0.0529688,0.00660938,-0.192969
-4.9420e-05,0.104938,0.0525,0.0063125,-0.213281
-4.9410e-05,0.102875,0.0487188,0.00695312,-0.20625
-4.9400e-05,0.100188,0.055,0.0056875,-0.215625
-4.9390e-05,0.101906,0.0504063,0.00696875,-0.175781
-4.9380e-05,0.104375,0.0520313,0.00503125,-0.14375
-4.9370e-05,0.10175,0.0527813,0.00539063,-0.205469
-4.9360e-05,0.0994688,0.0511875,0.0061875,-0.121094
-4.9350e-05,0.101594,0.0515625,0.00528125,-0.144531
-4.9340e-05,0.102125,0.04975,0.00773438,-0.239063
-4.9330e-05,0.102094,0.0505625,0.00567187,-0.222656
-4.9320e-05,0.1045,0.052375,0.00598438,-0.140625
-4.9310e-05,0.104094,0.0516875,0.0071875,-0.196875
-4.9300e-05,0.103281,0.052375,0.00571875,-0.188281
-4.9290e-05,0.102188,0.0524688,0.0065625,-0.174219
-4.9280e-05,0.103406,0.0507813,0.00495313,-0.132031
-4.9270e-05,0.101125,0.0518125,0.00492187,-0.174219
-4.9260e-05,0.103656,0.0523125,0.00432813,-0.215625
-4.9250e-05,0.104031,0.0535,0.00489063,-0.159375
-4.9240e-05,0.102344,0.0528125,0.00482813,-0.176563
-4.9230e-05,0.100656,0.0512188,0.00607812,-0.14375
-4.9220e-05,0.103063,0.0512813,0.00576563,-0.174219
-4.9210e-05,0.101906,0.0515625,0.00564063,-0.177344
-4.9200e-05,0.105813,0.0520313,0.00548437,-0.171094
-4.9190e-05,0.102,0.0527813,0.00525,-0.207813
-4.9180e-05,0.102313,0.0518438,0.00657812,-0.197656
-4.9170e-05,0.10425,0.055125,0.00701562,-0.203125
-4.9160e-05,0.101625,0.052375,0.00546875,-0.135937
-4.9150e-05,0.1025,0.0506875,0.00501563,-0.173437
-4.9140e-05,0.103125,0.0507188,0.00621875,-0.146094
-4.9130e-05,0.103188,0.052,0.00584375,-0.142969
-4.9120e-05,0.103688,0.0525938,0.005,-0.220312
-4.9110e-05,0.102938,0.0504375,0.00565625,-0.269531
-4.9100e-05,0.104031,0.0517188,0.00492187,-0.148438
